Gericht;Allergen
Brotchen;1
Brot;1
Brötchen;1
Müsli;1
Musli;1
Nudeln;1
Jägerschnitzel;1
Weizen;1
Roggen;1
Gerste;1
Hafer;1
Dinkel;1
Kamut;1
Bullete;1
Burger;1
Bier;1
Radler;1
Pils;1
Weißbier;1
Spaghetti;1
Brownie;1
Bröselknöderl;1
Bauernbrott;1
Höfbrau;1
Brotzeiteller;1
Breze;1
Bretzel;1
Semmel;1
Dampfnudeln;1
Strudel;1,3
Kaiserschmarren;1,3
Gnocchi;1,3
Eierspätzle;1,3
Apfelstrudel;1,3
Cheesecake;1,7
Krebs;2
Ei;3
Eier;3
Eiern;3
Omelette;3
Fischstabchen;4
Fischstäbchen;4
Fisch;4
Fischgelatine;4
Seezunge;4
Milch;5
Erdnuss;5
Sojamilch;6
Sojabohnen;6
Soja;6
Kässe;7
Käse;7
Yoghurt;7
Joghurt;7
Naturjoghurt;7
Cappuccino;7
Milchkaffee;7
Latte Machiato;7
Expresso Machiato;7
Eiskaffee;7
Schlagsahne;7
Eis;7
Ziegenkäse;7
Ziegenkase;7
Mozarella;7
Buffelmozarella;7
Büffelmozarella;7
Laktose;7
Mascaporne;7
Quark;7
Schmand;7
Trinkschokolade;7
Heiße Schokolade;7
Tiramisu;7
Brie;7
Sauerrahm;7
Obazda;7
Butter;7
Haselnüsse;8
Walnüsse;8
Cashewnüsse;8
Pekannüsse;8
Paranüsse;8
Macadamianuss;8
Queenslandnuss;8
Pistazie;8
Mandel;8
Haselnuss;8
Walnuss;8
Cashewnuss;8
Pekannuss;8
Paranuss;8
Sellerie;9
Senf;10
Senfsauce;10
Sesamsamen;11
Schwefeldioxid;12
Sulfite;12
Wein;12
Rotwein;12
Weißwein;12
Lupinen;13
Schnecken;14
Muscheln;14
Tintenfische;14
Flusskrebsen;14
Schnitzel;2,4,7
